query_id,llm_warning,llm_fixed,issue,status
114,ChatGpt,DeepSeek,java:S1481,corrected
114,ChatGpt,DeepSeek,java:S1854,corrected
114,ChatGpt,Gemini,java:S1488,corrected
114,ChatGpt,Gemini,java:S1481,corrected
114,ChatGpt,Gemini,java:S1854,corrected
114,stackOverflow,ChatGpt2025,java:S1481,not_corrected
114,stackOverflow,ChatGpt2025,java:S1854,not_corrected
114,stackOverflow,DeepSeek,java:S1481,corrected
114,stackOverflow,DeepSeek,java:S1854,corrected
114,stackOverflow,Gemini,java:S1481,not_corrected
114,stackOverflow,Gemini,java:S1854,not_corrected
115,Gemini,ChatGpt2025,java:S1192,corrected
115,Gemini,DeepSeek,java:S1192,corrected
115,Gemini,Gemini,java:S1192,corrected
115,stackOverflow,ChatGpt2025,java:S6213,not_corrected
115,stackOverflow,DeepSeek,java:S6213,corrected
115,stackOverflow,Gemini,java:S6213,corrected
118,Gemini,ChatGpt2025,java:S1192,not_corrected
118,Gemini,DeepSeek,java:S1192,corrected
118,Gemini,Gemini,java:S1192,corrected
118,stackOverflow,ChatGpt2025,java:S2293,corrected
118,stackOverflow,ChatGpt2025,java:S1481,corrected
118,stackOverflow,ChatGpt2025,java:S1854,corrected
118,stackOverflow,DeepSeek,java:S2293,corrected
118,stackOverflow,DeepSeek,java:S1481,corrected
118,stackOverflow,DeepSeek,java:S1854,corrected
118,stackOverflow,Gemini,java:S2293,corrected
118,stackOverflow,Gemini,java:S1481,corrected
118,stackOverflow,Gemini,java:S1854,corrected
119,stackOverflow,ChatGpt2025,java:S1444,corrected
119,stackOverflow,ChatGpt2025,java:S101,corrected
119,stackOverflow,DeepSeek,java:S1444,corrected
119,stackOverflow,DeepSeek,java:S101,corrected
119,stackOverflow,Gemini,java:S1444,corrected
119,stackOverflow,Gemini,java:S101,corrected
12,ChatGpt,ChatGpt2025,java:S1659,corrected
12,ChatGpt,DeepSeek,java:S1659,corrected
12,ChatGpt,Gemini,java:S1659,corrected
12,DeepSeek,ChatGpt2025,java:S112,corrected
12,DeepSeek,ChatGpt2025,java:S1126,corrected
12,DeepSeek,DeepSeek,java:S112,not_corrected
12,DeepSeek,DeepSeek,java:S1126,not_corrected
12,DeepSeek,Gemini,java:S112,corrected
12,DeepSeek,Gemini,java:S1126,corrected
12,Gemini,ChatGpt2025,java:S1192,corrected
12,Gemini,ChatGpt2025,java:S112,corrected
12,Gemini,ChatGpt2025,java:S1126,corrected
12,Gemini,DeepSeek,java:S1192,corrected
12,Gemini,DeepSeek,java:S112,corrected
12,Gemini,DeepSeek,java:S1126,corrected
12,Gemini,Gemini,java:S1192,corrected
12,Gemini,Gemini,java:S112,corrected
12,Gemini,Gemini,java:S1126,corrected
12,stackOverflow,ChatGpt2025,java:S131,corrected
12,stackOverflow,ChatGpt2025,java:S1197,corrected
12,stackOverflow,DeepSeek,java:S131,corrected
12,stackOverflow,DeepSeek,java:S1197,corrected
12,stackOverflow,Gemini,java:S131,corrected
12,stackOverflow,Gemini,java:S1197,corrected
120,DeepSeek,ChatGpt2025,java:S1481,corrected
120,DeepSeek,ChatGpt2025,java:S1854,corrected
120,DeepSeek,DeepSeek,java:S1481,corrected
120,DeepSeek,DeepSeek,java:S1854,corrected
120,DeepSeek,Gemini,java:S1481,corrected
120,DeepSeek,Gemini,java:S1854,corrected
120,stackOverflow,ChatGpt2025,java:S1481,corrected
120,stackOverflow,ChatGpt2025,java:S1854,corrected
120,stackOverflow,DeepSeek,java:S1481,corrected
120,stackOverflow,DeepSeek,java:S1854,corrected
120,stackOverflow,Gemini,java:S1481,corrected
120,stackOverflow,Gemini,java:S1854,corrected
121,stackOverflow,ChatGpt2025,java:S117,corrected
121,stackOverflow,ChatGpt2025,java:S4719,corrected
121,stackOverflow,DeepSeek,java:S117,corrected
121,stackOverflow,DeepSeek,java:S4719,corrected
121,stackOverflow,Gemini,java:S117,corrected
121,stackOverflow,Gemini,java:S4719,corrected
122,stackOverflow,ChatGpt2025,java:S1481,corrected
122,stackOverflow,ChatGpt2025,java:S1854,corrected
122,stackOverflow,DeepSeek,java:S1481,corrected
122,stackOverflow,DeepSeek,java:S1854,corrected
122,stackOverflow,Gemini,java:S1481,not_corrected
122,stackOverflow,Gemini,java:S1854,not_corrected
123,DeepSeek,ChatGpt2025,java:S1481,not_corrected
123,DeepSeek,ChatGpt2025,java:S1854,not_corrected
123,DeepSeek,DeepSeek,java:S1481,not_corrected
123,DeepSeek,DeepSeek,java:S1854,not_corrected
123,DeepSeek,Gemini,java:S1481,not_corrected
123,DeepSeek,Gemini,java:S1854,not_corrected
123,stackOverflow,ChatGpt2025,java:S2293,corrected
123,stackOverflow,DeepSeek,java:S2293,corrected
123,stackOverflow,Gemini,java:S2293,corrected
124,Gemini,ChatGpt2025,java:S6353,corrected
124,Gemini,DeepSeek,java:S6353,corrected
124,Gemini,Gemini,java:S6353,corrected
124,stackOverflow,ChatGpt2025,java:S6353,corrected
124,stackOverflow,DeepSeek,java:S6353,corrected
124,stackOverflow,Gemini,java:S6353,corrected
125,stackOverflow,ChatGpt2025,java:S1197,corrected
125,stackOverflow,DeepSeek,java:S1197,corrected
125,stackOverflow,Gemini,java:S1197,corrected
126,ChatGpt2025,ChatGpt2025,java:S1481,corrected
126,ChatGpt2025,ChatGpt2025,java:S1854,corrected
126,ChatGpt2025,DeepSeek,java:S1481,corrected
126,ChatGpt2025,DeepSeek,java:S1854,corrected
126,ChatGpt2025,Gemini,java:S1481,corrected
126,ChatGpt2025,Gemini,java:S1854,corrected
126,stackOverflow,ChatGpt2025,java:S1481,corrected
126,stackOverflow,ChatGpt2025,java:S1854,corrected
126,stackOverflow,ChatGpt2025,java:S125,introduced
126,stackOverflow,DeepSeek,java:S1481,corrected
126,stackOverflow,DeepSeek,java:S1854,corrected
126,stackOverflow,Gemini,java:S1481,corrected
126,stackOverflow,Gemini,java:S1854,corrected
128,stackOverflow,ChatGpt2025,java:S3740,corrected
128,stackOverflow,ChatGpt2025,java:S1481,corrected
128,stackOverflow,ChatGpt2025,java:S1854,corrected
128,stackOverflow,ChatGpt2025,java:S6213,introduced
128,stackOverflow,ChatGpt2025,java:S125,introduced
128,stackOverflow,DeepSeek,java:S3740,corrected
128,stackOverflow,DeepSeek,java:S1481,not_corrected
128,stackOverflow,DeepSeek,java:S1854,not_corrected
128,stackOverflow,Gemini,java:S3740,corrected
128,stackOverflow,Gemini,java:S1481,corrected
128,stackOverflow,Gemini,java:S1854,corrected
129,ChatGpt,ChatGpt2025,java:S3252,corrected
129,ChatGpt,DeepSeek,java:S3252,corrected
129,ChatGpt,Gemini,java:S3252,corrected
129,ChatGpt2025,ChatGpt2025,java:S3252,corrected
129,ChatGpt2025,DeepSeek,java:S3252,corrected
129,ChatGpt2025,Gemini,java:S3252,corrected
129,DeepSeek,ChatGpt2025,java:S3252,corrected
129,DeepSeek,DeepSeek,java:S3252,corrected
129,DeepSeek,Gemini,java:S3252,corrected
129,Gemini,ChatGpt2025,java:S3252,corrected
129,Gemini,DeepSeek,java:S3252,corrected
129,Gemini,Gemini,java:S3252,corrected
129,stackOverflow,ChatGpt2025,java:S3252,corrected
129,stackOverflow,DeepSeek,java:S3252,corrected
129,stackOverflow,Gemini,java:S3252,corrected
13,ChatGpt,ChatGpt2025,java:S1481,corrected
13,ChatGpt,ChatGpt2025,java:S1854,corrected
13,ChatGpt,DeepSeek,java:S1481,corrected
13,ChatGpt,DeepSeek,java:S1854,corrected
13,ChatGpt,Gemini,java:S1481,corrected
13,ChatGpt,Gemini,java:S1854,corrected
13,ChatGpt2025,ChatGpt2025,java:S1481,corrected
13,ChatGpt2025,ChatGpt2025,java:S1854,corrected
13,ChatGpt2025,DeepSeek,java:S1481,corrected
13,ChatGpt2025,DeepSeek,java:S1854,corrected
13,ChatGpt2025,Gemini,java:S1481,corrected
13,ChatGpt2025,Gemini,java:S1854,corrected
13,DeepSeek,ChatGpt2025,java:S1481,corrected
13,DeepSeek,ChatGpt2025,java:S1854,corrected
13,DeepSeek,DeepSeek,java:S1481,corrected
13,DeepSeek,DeepSeek,java:S1854,corrected
13,DeepSeek,Gemini,java:S1481,corrected
13,DeepSeek,Gemini,java:S1854,corrected
13,Gemini,ChatGpt2025,java:S1481,corrected
13,Gemini,ChatGpt2025,java:S1854,corrected
13,Gemini,DeepSeek,java:S1481,corrected
13,Gemini,DeepSeek,java:S1854,corrected
13,Gemini,Gemini,java:S1481,corrected
13,Gemini,Gemini,java:S1854,corrected
13,stackOverflow,ChatGpt2025,java:S1125,corrected
13,stackOverflow,ChatGpt2025,java:S112,corrected
13,stackOverflow,DeepSeek,java:S1125,corrected
13,stackOverflow,DeepSeek,java:S112,corrected
13,stackOverflow,Gemini,java:S1125,corrected
13,stackOverflow,Gemini,java:S112,corrected
131,ChatGpt2025,ChatGpt2025,java:S1481,not_corrected
131,ChatGpt2025,ChatGpt2025,java:S1854,not_corrected
131,ChatGpt2025,DeepSeek,java:S1481,corrected
131,ChatGpt2025,DeepSeek,java:S1854,corrected
131,ChatGpt2025,Gemini,java:S1481,corrected
131,ChatGpt2025,Gemini,java:S1854,corrected
131,ChatGpt2025,Gemini,java:S1186,introduced
131,DeepSeek,ChatGpt2025,java:S1481,not_corrected
131,DeepSeek,ChatGpt2025,java:S1854,not_corrected
131,DeepSeek,DeepSeek,java:S1481,corrected
131,DeepSeek,DeepSeek,java:S1854,corrected
131,DeepSeek,Gemini,java:S1481,not_corrected
131,DeepSeek,Gemini,java:S1854,not_corrected
131,DeepSeek,Gemini,java:S125,introduced
131,Gemini,ChatGpt2025,java:S1481,corrected
131,Gemini,ChatGpt2025,java:S1854,corrected
131,Gemini,ChatGpt2025,java:S1186,introduced
131,Gemini,DeepSeek,java:S1481,corrected
131,Gemini,DeepSeek,java:S1854,corrected
131,Gemini,Gemini,java:S1481,corrected
131,Gemini,Gemini,java:S1854,corrected
131,Gemini,Gemini,java:S125,introduced
133,DeepSeek,ChatGpt2025,java:S125,corrected
133,DeepSeek,DeepSeek,java:S125,corrected
133,DeepSeek,Gemini,java:S125,corrected
133,Gemini,ChatGpt2025,java:S125,corrected
133,Gemini,DeepSeek,java:S125,corrected
133,Gemini,Gemini,java:S125,corrected
133,stackOverflow,ChatGpt2025,java:S116,not_corrected
133,stackOverflow,ChatGpt2025,java:S1854,not_corrected
133,stackOverflow,ChatGpt2025,java:S1700,not_corrected
133,stackOverflow,ChatGpt2025,java:S3776,not_corrected
133,stackOverflow,ChatGpt2025,java:S1479,not_corrected
133,stackOverflow,ChatGpt2025,java:S6541,not_corrected
133,stackOverflow,ChatGpt2025,java:S2140,not_corrected
133,stackOverflow,ChatGpt2025,java:S1192,not_corrected
133,stackOverflow,ChatGpt2025,java:S131,not_corrected
133,stackOverflow,ChatGpt2025,java:S108,not_corrected
133,stackOverflow,ChatGpt2025,java:S2293,not_corrected
133,stackOverflow,ChatGpt2025,java:S1197,not_corrected
133,stackOverflow,ChatGpt2025,java:S125,not_corrected
133,stackOverflow,ChatGpt2025,java:S127,not_corrected
133,stackOverflow,ChatGpt2025,java:S1301,not_corrected
133,stackOverflow,ChatGpt2025,java:S1604,not_corrected
133,stackOverflow,ChatGpt2025,java:S1659,not_corrected
133,stackOverflow,DeepSeek,java:S116,corrected
133,stackOverflow,DeepSeek,java:S6541,corrected
133,stackOverflow,DeepSeek,java:S2140,corrected
133,stackOverflow,DeepSeek,java:S1192,corrected
133,stackOverflow,DeepSeek,java:S131,corrected
133,stackOverflow,DeepSeek,java:S108,corrected
133,stackOverflow,DeepSeek,java:S2293,corrected
133,stackOverflow,DeepSeek,java:S1197,corrected
133,stackOverflow,DeepSeek,java:S125,corrected
133,stackOverflow,DeepSeek,java:S1301,corrected
133,stackOverflow,DeepSeek,java:S1604,corrected
133,stackOverflow,DeepSeek,java:S1659,corrected
133,stackOverflow,DeepSeek,java:S1854,not_corrected
133,stackOverflow,DeepSeek,java:S1700,not_corrected
133,stackOverflow,DeepSeek,java:S3776,not_corrected
133,stackOverflow,DeepSeek,java:S1479,not_corrected
133,stackOverflow,DeepSeek,java:S127,not_corrected
133,stackOverflow,DeepSeek,java:S1450,introduced
133,stackOverflow,DeepSeek,java:S1068,introduced
133,stackOverflow,Gemini,java:S116,corrected
133,stackOverflow,Gemini,java:S1854,corrected
133,stackOverflow,Gemini,java:S6541,corrected
133,stackOverflow,Gemini,java:S1479,corrected
133,stackOverflow,Gemini,java:S2140,corrected
133,stackOverflow,Gemini,java:S1192,corrected
133,stackOverflow,Gemini,java:S131,corrected
133,stackOverflow,Gemini,java:S108,corrected
133,stackOverflow,Gemini,java:S2293,corrected
133,stackOverflow,Gemini,java:S1197,corrected
133,stackOverflow,Gemini,java:S125,corrected
133,stackOverflow,Gemini,java:S127,corrected
133,stackOverflow,Gemini,java:S1301,corrected
133,stackOverflow,Gemini,java:S1604,corrected
133,stackOverflow,Gemini,java:S1659,corrected
133,stackOverflow,Gemini,java:S1700,not_corrected
133,stackOverflow,Gemini,java:S3776,not_corrected
133,stackOverflow,Gemini,java:S1450,introduced
133,stackOverflow,Gemini,java:S1871,introduced
133,stackOverflow,Gemini,java:S1068,introduced
135,stackOverflow,ChatGpt2025,java:S7158,corrected
135,stackOverflow,DeepSeek,java:S7158,corrected
135,stackOverflow,Gemini,java:S7158,corrected
136,stackOverflow,ChatGpt2025,java:S1186,corrected
136,stackOverflow,DeepSeek,java:S1186,corrected
136,stackOverflow,Gemini,java:S1186,corrected
137,ChatGpt,ChatGpt2025,java:S116,corrected
137,ChatGpt,ChatGpt2025,java:S1161,corrected
137,ChatGpt,DeepSeek,java:S116,corrected
137,ChatGpt,DeepSeek,java:S1161,corrected
137,ChatGpt,Gemini,java:S116,corrected
137,ChatGpt,Gemini,java:S1161,corrected
137,stackOverflow,ChatGpt2025,java:S1192,corrected
137,stackOverflow,ChatGpt2025,java:S2293,corrected
137,stackOverflow,DeepSeek,java:S1192,corrected
137,stackOverflow,DeepSeek,java:S2293,corrected
137,stackOverflow,Gemini,java:S1192,corrected
137,stackOverflow,Gemini,java:S2293,corrected
138,ChatGpt2025,ChatGpt2025,java:S1612,corrected
138,ChatGpt2025,DeepSeek,java:S1612,corrected
138,ChatGpt2025,Gemini,java:S1612,corrected
138,DeepSeek,ChatGpt2025,java:S1612,corrected
138,DeepSeek,DeepSeek,java:S1612,corrected
138,DeepSeek,Gemini,java:S1612,corrected
139,ChatGpt,ChatGpt2025,java:S3252,corrected
139,ChatGpt,DeepSeek,java:S3252,corrected
139,ChatGpt,Gemini,java:S3252,corrected
139,Gemini,ChatGpt2025,java:S3252,corrected
139,Gemini,DeepSeek,java:S3252,corrected
139,Gemini,Gemini,java:S3252,corrected
139,stackOverflow,ChatGpt2025,java:S1144,corrected
139,stackOverflow,ChatGpt2025,java:S2094,introduced
139,stackOverflow,DeepSeek,java:S1144,corrected
139,stackOverflow,DeepSeek,java:S2094,introduced
139,stackOverflow,Gemini,java:S1144,corrected
139,stackOverflow,Gemini,java:S2094,introduced
141,ChatGpt2025,ChatGpt2025,java:S1659,corrected
141,ChatGpt2025,DeepSeek,java:S1659,corrected
141,ChatGpt2025,Gemini,java:S1659,corrected
141,stackOverflow,ChatGpt2025,java:S1659,corrected
141,stackOverflow,ChatGpt2025,java:S125,corrected
141,stackOverflow,DeepSeek,java:S1659,corrected
141,stackOverflow,DeepSeek,java:S125,corrected
141,stackOverflow,Gemini,java:S1659,corrected
141,stackOverflow,Gemini,java:S125,corrected
142,ChatGpt,ChatGpt2025,java:S1488,corrected
142,ChatGpt,DeepSeek,java:S1488,corrected
142,ChatGpt,Gemini,java:S1488,corrected
143,stackOverflow,ChatGpt2025,java:S2293,corrected
143,stackOverflow,DeepSeek,java:S2293,corrected
143,stackOverflow,Gemini,java:S2293,corrected
144,DeepSeek,ChatGpt2025,java:S1481,corrected
144,DeepSeek,ChatGpt2025,java:S1854,corrected
144,DeepSeek,DeepSeek,java:S1481,corrected
144,DeepSeek,DeepSeek,java:S1854,corrected
144,DeepSeek,Gemini,java:S1481,corrected
144,DeepSeek,Gemini,java:S1854,corrected
144,Gemini,ChatGpt2025,java:S1481,corrected
144,Gemini,ChatGpt2025,java:S1854,corrected
144,Gemini,DeepSeek,java:S1481,corrected
144,Gemini,DeepSeek,java:S1854,corrected
144,Gemini,Gemini,java:S1481,corrected
144,Gemini,Gemini,java:S1854,corrected
146,ChatGpt,ChatGpt2025,java:S1192,corrected
146,ChatGpt,ChatGpt2025,java:S1602,corrected
146,ChatGpt,DeepSeek,java:S1192,corrected
146,ChatGpt,DeepSeek,java:S1602,corrected
146,ChatGpt,Gemini,java:S1192,corrected
146,ChatGpt,Gemini,java:S1602,corrected
146,ChatGpt2025,ChatGpt2025,java:S1602,corrected
146,ChatGpt2025,DeepSeek,java:S1602,corrected
146,ChatGpt2025,Gemini,java:S1602,corrected
146,DeepSeek,ChatGpt2025,java:S1602,corrected
146,DeepSeek,DeepSeek,java:S1602,corrected
146,DeepSeek,Gemini,java:S1602,corrected
146,stackOverflow,ChatGpt2025,java:S1481,not_corrected
146,stackOverflow,ChatGpt2025,java:S1854,not_corrected
146,stackOverflow,DeepSeek,java:S1481,corrected
146,stackOverflow,DeepSeek,java:S1854,corrected
146,stackOverflow,Gemini,java:S1481,not_corrected
146,stackOverflow,Gemini,java:S1854,not_corrected
147,ChatGpt,ChatGpt2025,java:S1602,corrected
147,ChatGpt,ChatGpt2025,java:S1481,corrected
147,ChatGpt,ChatGpt2025,java:S1854,corrected
147,ChatGpt,DeepSeek,java:S1602,corrected
147,ChatGpt,DeepSeek,java:S1481,corrected
147,ChatGpt,DeepSeek,java:S1854,corrected
147,ChatGpt,Gemini,java:S1602,corrected
147,ChatGpt,Gemini,java:S1481,not_corrected
147,ChatGpt,Gemini,java:S1854,not_corrected
147,stackOverflow,ChatGpt2025,java:S3626,corrected
147,stackOverflow,DeepSeek,java:S3626,corrected
147,stackOverflow,Gemini,java:S3626,corrected
148,ChatGpt,ChatGpt2025,java:S1481,corrected
148,ChatGpt,ChatGpt2025,java:S1854,corrected
148,ChatGpt,ChatGpt2025,java:S117,corrected
148,ChatGpt,DeepSeek,java:S117,corrected
148,ChatGpt,DeepSeek,java:S1481,not_corrected
148,ChatGpt,DeepSeek,java:S1854,not_corrected
148,ChatGpt,Gemini,java:S1481,corrected
148,ChatGpt,Gemini,java:S1854,corrected
148,ChatGpt,Gemini,java:S117,corrected
148,DeepSeek,ChatGpt2025,java:S1481,corrected
148,DeepSeek,ChatGpt2025,java:S1854,corrected
148,DeepSeek,ChatGpt2025,java:S125,corrected
148,DeepSeek,ChatGpt2025,java:S1186,introduced
148,DeepSeek,DeepSeek,java:S1481,corrected
148,DeepSeek,DeepSeek,java:S1854,corrected
148,DeepSeek,DeepSeek,java:S125,corrected
148,DeepSeek,DeepSeek,java:S1186,introduced
148,DeepSeek,Gemini,java:S1481,corrected
148,DeepSeek,Gemini,java:S1854,corrected
148,DeepSeek,Gemini,java:S125,corrected
148,DeepSeek,Gemini,java:S1186,introduced
148,Gemini,ChatGpt2025,java:S1481,corrected
148,Gemini,ChatGpt2025,java:S1854,corrected
148,Gemini,ChatGpt2025,java:S125,introduced
148,Gemini,DeepSeek,java:S1481,corrected
148,Gemini,DeepSeek,java:S1854,corrected
148,Gemini,DeepSeek,java:S125,introduced
148,Gemini,Gemini,java:S1481,corrected
148,Gemini,Gemini,java:S1854,corrected
148,Gemini,Gemini,java:S125,introduced
148,stackOverflow,ChatGpt2025,java:S1481,corrected
148,stackOverflow,ChatGpt2025,java:S1854,corrected
148,stackOverflow,ChatGpt2025,java:S1186,introduced
148,stackOverflow,ChatGpt2025,java:S112,introduced
148,stackOverflow,DeepSeek,java:S1481,corrected
148,stackOverflow,DeepSeek,java:S1854,corrected
148,stackOverflow,DeepSeek,java:S1186,introduced
148,stackOverflow,DeepSeek,java:S112,introduced
148,stackOverflow,Gemini,java:S1481,corrected
148,stackOverflow,Gemini,java:S1854,corrected
148,stackOverflow,Gemini,java:S1186,introduced
149,ChatGpt,ChatGpt2025,java:S1659,corrected
149,ChatGpt,DeepSeek,java:S1659,corrected
149,ChatGpt,Gemini,java:S1659,corrected
149,DeepSeek,ChatGpt2025,java:S1192,corrected
149,DeepSeek,DeepSeek,java:S1192,corrected
149,DeepSeek,Gemini,java:S1192,corrected
149,stackOverflow,ChatGpt2025,java:S1068,corrected
