query_id_llm,before,chatgpt_remaining,deepseek_remaining,gemini_remaining
30_stackoverflow,1,0,0,0
302_gemini,1,0,0,0
302_stackoverflow,1,0,0,0
303_gemini,1,0,0,0
304_stackoverflow,1,1,0,0
306_chatgpt2025,1,1,1,0
306_deepseek,2,0,0,1
306_stackoverflow,1,1,0,1
307_stackoverflow,2,0,0,2
308_stackoverflow,2,0,0,2
309_chatgpt,2,2,2,2
309_chatgpt2025,2,2,0,3
309_deepseek,2,0,0,0
309_gemini,2,0,0,1
313_chatgpt,1,0,0,0
313_stackoverflow,3,0,0,3
314_deepseek,2,0,0,0
318_stackoverflow,2,2,0,0
319_chatgpt2025,1,0,0,0
320_stackoverflow,2,0,0,1
321_gemini,1,0,0,0
321_stackoverflow,2,2,0,0
325_stackoverflow,2,0,0,0
329_gemini,1,0,0,0
329_stackoverflow,1,0,0,0
33_chatgpt,1,0,0,0
33_chatgpt2025,1,0,0,0
330_chatgpt,1,0,0,0
331_stackoverflow,2,0,0,0
333_gemini,1,0,0,0
335_chatgpt,2,0,0,0
335_deepseek,2,0,0,0
337_stackoverflow,3,0,0,0
338_stackoverflow,2,0,0,0
34_stackoverflow,2,0,0,0
340_stackoverflow,2,0,2,2
341_chatgpt2025,2,1,0,1
341_deepseek,2,0,0,0
342_deepseek,1,0,0,0
342_gemini,0,1,0,0
343_stackoverflow,2,2,2,2
344_deepseek,2,0,0,0
346_deepseek,2,2,2,2
346_stackoverflow,1,0,0,0
347_chatgpt,2,0,0,0
347_chatgpt2025,2,0,0,0
347_deepseek,1,0,0,0
347_gemini,2,0,0,0
347_stackoverflow,2,0,0,0
35_chatgpt2025,1,0,0,0
350_chatgpt,2,0,0,0
350_chatgpt2025,2,1,0,1
350_deepseek,2,1,2,0
350_gemini,1,1,0,1
350_stackoverflow,2,1,1,1
351_deepseek,2,1,0,1
351_stackoverflow,2,1,0,0
352_stackoverflow,2,1,0,0
356_stackoverflow,2,0,0,0
36_stackoverflow,1,0,0,0
38_chatgpt2025,2,2,0,1
38_deepseek,2,0,2,0
38_gemini,2,1,2,0
39_deepseek,2,0,0,0
39_stackoverflow,3,0,0,0
4_stackoverflow,1,1,0,0
41_deepseek,1,0,0,0
41_gemini,1,0,0,0
41_stackoverflow,1,1,1,1
45_stackoverflow,3,2,0,0
46_chatgpt,2,0,0,0
46_gemini,0,2,2,2
46_stackoverflow,3,0,0,1
47_stackoverflow,2,0,0,0
48_deepseek,2,0,0,0
48_gemini,2,0,0,0
48_stackoverflow,2,2,0,0
5_chatgpt,4,0,1,1
5_chatgpt2025,2,1,1,1
5_deepseek,2,1,1,0
5_gemini,2,1,1,1
50_chatgpt,1,0,0,0
50_deepseek,1,1,1,0
51_deepseek,2,1,0,0
53_chatgpt,2,0,0,0
53_chatgpt2025,1,0,0,0
53_stackoverflow,2,0,0,0
55_deepseek,2,1,0,2
56_stackoverflow,2,2,0,2
57_deepseek,2,0,0,0
58_chatgpt,2,0,0,0
59_stackoverflow,3,0,0,0
6_chatgpt2025,1,1,0,0
6_deepseek,1,1,0,0
61_deepseek,2,2,0,2
63_stackoverflow,2,0,0,0
65_stackoverflow,2,0,2,0
66_stackoverflow,2,0,0,0
67_stackoverflow,2,0,0,0
68_chatgpt2025,2,2,0,2
68_deepseek,2,2,2,2
69_deepseek,2,0,0,0
70_stackoverflow,2,2,2,0
71_stackoverflow,3,2,0,1
72_stackoverflow,2,2,2,2
74_chatgpt2025,1,0,0,0
75_chatgpt,2,2,2,2
75_deepseek,2,0,0,0
75_stackoverflow,2,2,2,2
76_gemini,1,0,0,0
8_gemini,2,0,1,1
81_stackoverflow,2,2,2,0
84_gemini,2,0,0,0
85_deepseek,1,0,0,0
85_stackoverflow,1,0,0,0
88_stackoverflow,1,1,0,0
9_deepseek,1,0,0,0
9_stackoverflow,1,1,0,1
90_chatgpt,2,2,2,2
90_deepseek,2,2,2,2
91_deepseek,1,0,0,0
91_stackoverflow,1,0,0,2
94_gemini,3,0,0,0
95_chatgpt2025,2,0,0,0
96_stackoverflow,2,0,0,2
97_chatgpt2025,1,0,0,0
97_gemini,1,0,0,0
277_stackoverflow,0,0,1,0
294_deepseek,0,0,0,1
