query_id,llm_fixed,status
151,ChatGpt2025,corrected
151,DeepSeek,corrected
151,Gemini,corrected
151,ChatGpt2025,corrected
151,DeepSeek,corrected
151,Gemini,corrected
153,ChatGpt2025,corrected
153,DeepSeek,corrected
153,Gemini,corrected
154,ChatGpt2025,not_corrected
154,DeepSeek,corrected
154,Gemini,corrected
154,ChatGpt2025,corrected
154,DeepSeek,corrected
154,Gemini,corrected
157,ChatGpt2025,not_corrected
157,DeepSeek,not_corrected
157,Gemini,corrected
157,ChatGpt2025,not_corrected
157,DeepSeek,not_corrected
157,Gemini,corrected
157,ChatGpt2025,corrected
157,DeepSeek,corrected
157,Gemini,corrected
158,ChatGpt2025,corrected
158,DeepSeek,not_corrected
158,Gemini,corrected
158,ChatGpt2025,corrected
158,DeepSeek,corrected
158,Gemini,corrected
158,ChatGpt2025,corrected
158,DeepSeek,corrected
158,Gemini,introduced
158,ChatGpt2025,corrected
158,DeepSeek,corrected
158,Gemini,corrected
159,ChatGpt2025,not_corrected
159,DeepSeek,not_corrected
159,Gemini,not_corrected
159,ChatGpt2025,not_corrected
159,DeepSeek,not_corrected
159,Gemini,not_corrected
159,ChatGpt2025,not_corrected
159,DeepSeek,not_corrected
159,Gemini,not_corrected
159,ChatGpt2025,not_corrected
159,DeepSeek,corrected
159,Gemini,not_corrected
16,ChatGpt2025,corrected
16,DeepSeek,corrected
16,Gemini,corrected
16,ChatGpt2025,corrected
16,DeepSeek,corrected
16,Gemini,corrected
16,ChatGpt2025,corrected
16,DeepSeek,corrected
16,Gemini,corrected
16,ChatGpt2025,corrected
16,DeepSeek,corrected
16,Gemini,corrected
160,ChatGpt2025,corrected
160,DeepSeek,corrected
160,Gemini,corrected
160,ChatGpt2025,corrected
160,DeepSeek,corrected
160,Gemini,not_corrected
162,ChatGpt2025,corrected
162,DeepSeek,corrected
162,Gemini,corrected
162,ChatGpt2025,corrected
162,DeepSeek,corrected
162,Gemini,corrected
162,ChatGpt2025,corrected
162,DeepSeek,corrected
162,Gemini,corrected
162,ChatGpt2025,corrected
162,DeepSeek,corrected
162,Gemini,corrected
162,ChatGpt2025,corrected
162,DeepSeek,corrected
162,Gemini,corrected
163,ChatGpt2025,not_corrected
163,DeepSeek,not_corrected
163,Gemini,not_corrected
163,ChatGpt2025,not_corrected
163,DeepSeek,not_corrected
163,Gemini,not_corrected
163,ChatGpt2025,corrected
163,DeepSeek,corrected
163,Gemini,introduced
163,ChatGpt2025,introduced
163,DeepSeek,corrected
163,Gemini,introduced
164,ChatGpt2025,introduced
164,DeepSeek,corrected
164,Gemini,corrected
167,ChatGpt2025,corrected
167,DeepSeek,corrected
167,Gemini,corrected
168,ChatGpt2025,corrected
168,DeepSeek,corrected
168,Gemini,corrected
168,ChatGpt2025,not_corrected
168,DeepSeek,not_corrected
168,Gemini,not_corrected
168,ChatGpt2025,introduced
168,DeepSeek,corrected
168,Gemini,introduced
169,ChatGpt2025,not_corrected
169,DeepSeek,corrected
169,Gemini,not_corrected
170,ChatGpt2025,corrected
170,DeepSeek,corrected
170,Gemini,corrected
171,ChatGpt2025,not_corrected
171,DeepSeek,corrected
171,Gemini,corrected
172,ChatGpt2025,corrected
172,DeepSeek,corrected
172,Gemini,corrected
172,ChatGpt2025,corrected
172,DeepSeek,corrected
172,Gemini,corrected
172,ChatGpt2025,corrected
172,DeepSeek,corrected
172,Gemini,corrected
173,ChatGpt2025,corrected
173,DeepSeek,introduced
173,Gemini,corrected
173,ChatGpt2025,corrected
173,DeepSeek,corrected
173,Gemini,corrected
173,ChatGpt2025,not_corrected
173,DeepSeek,not_corrected
173,Gemini,not_corrected
174,ChatGpt2025,corrected
174,DeepSeek,corrected
174,Gemini,corrected
175,ChatGpt2025,corrected
175,DeepSeek,corrected
175,Gemini,corrected
176,ChatGpt2025,corrected
176,DeepSeek,corrected
176,Gemini,corrected
176,ChatGpt2025,corrected
176,DeepSeek,corrected
176,Gemini,corrected
176,ChatGpt2025,corrected
176,DeepSeek,corrected
176,Gemini,corrected
176,ChatGpt2025,corrected
176,DeepSeek,corrected
176,Gemini,corrected
178,ChatGpt2025,corrected
178,DeepSeek,corrected
178,Gemini,corrected
178,ChatGpt2025,corrected
178,DeepSeek,corrected
178,Gemini,corrected
179,ChatGpt2025,corrected
179,DeepSeek,corrected
179,Gemini,corrected
179,ChatGpt2025,not_corrected
179,DeepSeek,corrected
179,Gemini,corrected
18,ChatGpt2025,corrected
18,DeepSeek,corrected
18,Gemini,corrected
180,ChatGpt2025,corrected
180,DeepSeek,corrected
180,Gemini,corrected
180,ChatGpt2025,corrected
180,DeepSeek,corrected
180,Gemini,corrected
181,ChatGpt2025,introduced
181,DeepSeek,corrected
181,Gemini,introduced
181,ChatGpt2025,corrected
181,DeepSeek,corrected
181,Gemini,corrected
182,ChatGpt2025,not_corrected
182,DeepSeek,not_corrected
182,Gemini,not_corrected
182,ChatGpt2025,corrected
182,DeepSeek,corrected
182,Gemini,not_corrected
183,ChatGpt2025,not_corrected
183,DeepSeek,corrected
183,Gemini,corrected
183,ChatGpt2025,corrected
183,DeepSeek,corrected
183,Gemini,corrected
183,ChatGpt2025,corrected
183,DeepSeek,corrected
183,Gemini,corrected
183,ChatGpt2025,corrected
183,DeepSeek,not_corrected
183,Gemini,corrected
185,ChatGpt2025,corrected
185,DeepSeek,corrected
185,Gemini,corrected
186,ChatGpt2025,corrected
186,DeepSeek,corrected
186,Gemini,corrected
186,ChatGpt2025,introduced
186,DeepSeek,corrected
186,Gemini,corrected
188,ChatGpt2025,corrected
188,DeepSeek,corrected
188,Gemini,corrected
188,ChatGpt2025,not_corrected
188,DeepSeek,not_corrected
188,Gemini,introduced
19,ChatGpt2025,corrected
19,DeepSeek,corrected
19,Gemini,corrected
190,ChatGpt2025,introduced
190,DeepSeek,not_corrected
190,Gemini,introduced
190,ChatGpt2025,introduced
190,DeepSeek,introduced
190,Gemini,corrected
190,ChatGpt2025,introduced
190,DeepSeek,introduced
190,Gemini,introduced
191,ChatGpt2025,corrected
191,DeepSeek,introduced
191,Gemini,corrected
191,ChatGpt2025,introduced
191,DeepSeek,introduced
191,Gemini,introduced
191,ChatGpt2025,introduced
191,DeepSeek,introduced
191,Gemini,introduced
192,ChatGpt2025,corrected
192,DeepSeek,corrected
192,Gemini,corrected
192,ChatGpt2025,corrected
192,DeepSeek,corrected
192,Gemini,corrected
192,ChatGpt2025,corrected
192,DeepSeek,corrected
192,Gemini,corrected
194,ChatGpt2025,corrected
194,DeepSeek,corrected
194,Gemini,corrected
194,ChatGpt2025,corrected
194,DeepSeek,corrected
194,Gemini,corrected
194,ChatGpt2025,corrected
194,DeepSeek,not_corrected
194,Gemini,corrected
194,ChatGpt2025,corrected
194,DeepSeek,corrected
194,Gemini,corrected
194,ChatGpt2025,introduced
194,DeepSeek,introduced
194,Gemini,corrected
195,ChatGpt2025,corrected
195,DeepSeek,corrected
195,Gemini,introduced
195,ChatGpt2025,corrected
195,DeepSeek,corrected
195,Gemini,corrected
195,ChatGpt2025,corrected
195,DeepSeek,corrected
195,Gemini,corrected
196,ChatGpt2025,corrected
196,DeepSeek,corrected
196,Gemini,corrected
196,ChatGpt2025,corrected
196,DeepSeek,corrected
196,Gemini,corrected
197,ChatGpt2025,introduced
197,DeepSeek,not_corrected
197,Gemini,introduced
197,ChatGpt2025,introduced
197,DeepSeek,introduced
197,Gemini,introduced
197,ChatGpt2025,introduced
197,DeepSeek,corrected
197,Gemini,introduced
197,ChatGpt2025,not_corrected
197,DeepSeek,not_corrected
197,Gemini,corrected
198,ChatGpt2025,corrected
198,DeepSeek,corrected
198,Gemini,corrected
198,ChatGpt2025,corrected
198,DeepSeek,corrected
198,Gemini,corrected
199,ChatGpt2025,corrected
199,DeepSeek,corrected
199,Gemini,corrected
2,ChatGpt2025,corrected
2,DeepSeek,corrected
2,Gemini,corrected
2,ChatGpt2025,corrected
2,DeepSeek,corrected
2,Gemini,corrected
20,ChatGpt2025,corrected
20,DeepSeek,corrected
20,Gemini,not_corrected
201,ChatGpt2025,introduced
201,DeepSeek,introduced
201,Gemini,introduced
201,ChatGpt2025,introduced
201,DeepSeek,introduced
201,Gemini,corrected
201,ChatGpt2025,introduced
201,DeepSeek,introduced
201,Gemini,introduced
201,ChatGpt2025,corrected
201,DeepSeek,corrected
201,Gemini,corrected
201,ChatGpt2025,corrected
201,DeepSeek,corrected
201,Gemini,corrected
202,ChatGpt2025,corrected
202,DeepSeek,corrected
202,Gemini,corrected
202,ChatGpt2025,corrected
202,DeepSeek,introduced
202,Gemini,corrected
203,ChatGpt2025,corrected
203,DeepSeek,corrected
203,Gemini,corrected
203,ChatGpt2025,corrected
203,DeepSeek,corrected
203,Gemini,corrected
204,ChatGpt2025,corrected
204,DeepSeek,corrected
204,Gemini,corrected
205,ChatGpt2025,corrected
205,DeepSeek,corrected
205,Gemini,corrected
205,ChatGpt2025,corrected
205,DeepSeek,corrected
205,Gemini,corrected
205,ChatGpt2025,introduced
205,DeepSeek,introduced
205,Gemini,introduced
206,ChatGpt2025,corrected
206,DeepSeek,corrected
206,Gemini,corrected
207,ChatGpt2025,introduced
207,DeepSeek,corrected
207,Gemini,introduced
208,ChatGpt2025,corrected
208,DeepSeek,corrected
208,Gemini,corrected
210,ChatGpt2025,not_corrected
210,DeepSeek,corrected
210,Gemini,corrected
210,ChatGpt2025,corrected
210,DeepSeek,corrected
210,Gemini,corrected
212,ChatGpt2025,introduced
212,DeepSeek,introduced
212,Gemini,corrected
212,ChatGpt2025,introduced
212,DeepSeek,introduced
212,Gemini,corrected
212,ChatGpt2025,corrected
212,DeepSeek,corrected
212,Gemini,corrected
212,ChatGpt2025,corrected
212,DeepSeek,corrected
212,Gemini,corrected
215,ChatGpt2025,corrected
215,DeepSeek,corrected
215,Gemini,corrected
215,ChatGpt2025,corrected
215,DeepSeek,corrected
215,Gemini,corrected
215,ChatGpt2025,corrected
215,DeepSeek,corrected
215,Gemini,corrected
217,ChatGpt2025,introduced
217,DeepSeek,introduced
217,Gemini,corrected
217,ChatGpt2025,corrected
217,DeepSeek,corrected
217,Gemini,corrected
217,ChatGpt2025,corrected
217,DeepSeek,corrected
217,Gemini,not_corrected
218,ChatGpt2025,corrected
218,DeepSeek,corrected
218,Gemini,corrected
218,ChatGpt2025,corrected
218,DeepSeek,corrected
218,Gemini,corrected
218,ChatGpt2025,corrected
218,DeepSeek,corrected
218,Gemini,corrected
219,ChatGpt2025,corrected
219,DeepSeek,corrected
219,Gemini,corrected
220,ChatGpt2025,corrected
220,DeepSeek,corrected
220,Gemini,corrected
220,ChatGpt2025,introduced
220,DeepSeek,introduced
220,Gemini,introduced
220,ChatGpt2025,introduced
220,DeepSeek,introduced
220,Gemini,introduced
220,ChatGpt2025,corrected
220,DeepSeek,corrected
220,Gemini,corrected
221,ChatGpt2025,corrected
221,DeepSeek,corrected
221,Gemini,corrected
221,ChatGpt2025,corrected
221,DeepSeek,corrected
221,Gemini,corrected
222,ChatGpt2025,corrected
222,DeepSeek,corrected
222,Gemini,corrected
222,ChatGpt2025,corrected
222,DeepSeek,corrected
222,Gemini,corrected
224,ChatGpt2025,corrected
224,DeepSeek,corrected
224,Gemini,corrected
224,ChatGpt2025,corrected
224,DeepSeek,corrected
224,Gemini,corrected
224,ChatGpt2025,corrected
224,DeepSeek,corrected
224,Gemini,corrected
225,ChatGpt2025,corrected
225,DeepSeek,corrected
225,Gemini,corrected
225,ChatGpt2025,not_corrected
225,DeepSeek,corrected
225,Gemini,corrected
226,ChatGpt2025,corrected
226,DeepSeek,not_corrected
226,Gemini,corrected
226,ChatGpt2025,corrected
226,DeepSeek,corrected
226,Gemini,corrected
226,ChatGpt2025,corrected
226,DeepSeek,corrected
226,Gemini,corrected
226,ChatGpt2025,corrected
226,DeepSeek,corrected
226,Gemini,corrected
227,ChatGpt2025,not_corrected
227,DeepSeek,not_corrected
227,Gemini,not_corrected
228,ChatGpt2025,not_corrected
228,DeepSeek,corrected
228,Gemini,not_corrected
228,ChatGpt2025,corrected
228,DeepSeek,corrected
228,Gemini,corrected
229,ChatGpt2025,corrected
229,DeepSeek,corrected
229,Gemini,corrected
229,ChatGpt2025,corrected
229,DeepSeek,corrected
229,Gemini,corrected
23,ChatGpt2025,corrected
23,DeepSeek,corrected
23,Gemini,corrected
23,ChatGpt2025,corrected
23,DeepSeek,corrected
23,Gemini,corrected
23,ChatGpt2025,corrected
23,DeepSeek,corrected
23,Gemini,corrected
23,ChatGpt2025,not_corrected
23,DeepSeek,corrected
23,Gemini,corrected
231,ChatGpt2025,not_corrected
231,DeepSeek,not_corrected
231,Gemini,not_corrected
231,ChatGpt2025,corrected
231,DeepSeek,corrected
231,Gemini,corrected
231,ChatGpt2025,corrected
231,DeepSeek,corrected
231,Gemini,corrected
232,ChatGpt2025,corrected
232,DeepSeek,not_corrected
232,Gemini,not_corrected
232,ChatGpt2025,corrected
232,DeepSeek,corrected
232,Gemini,corrected
232,ChatGpt2025,corrected
232,DeepSeek,corrected
232,Gemini,corrected
233,ChatGpt2025,corrected
233,DeepSeek,corrected
233,Gemini,introduced
233,ChatGpt2025,corrected
233,DeepSeek,corrected
233,Gemini,corrected
236,ChatGpt2025,corrected
236,DeepSeek,corrected
236,Gemini,corrected
236,ChatGpt2025,corrected
236,DeepSeek,not_corrected
236,Gemini,corrected
238,ChatGpt2025,corrected
238,DeepSeek,corrected
238,Gemini,corrected
240,ChatGpt2025,not_corrected
240,DeepSeek,corrected
240,Gemini,corrected
240,ChatGpt2025,not_corrected
240,DeepSeek,not_corrected
240,Gemini,introduced
241,ChatGpt2025,corrected
241,DeepSeek,corrected
241,Gemini,corrected
241,ChatGpt2025,corrected
241,DeepSeek,corrected
241,Gemini,corrected
242,ChatGpt2025,corrected
242,DeepSeek,introduced
242,Gemini,corrected
242,ChatGpt2025,corrected
242,DeepSeek,corrected
242,Gemini,corrected
242,ChatGpt2025,introduced
242,DeepSeek,corrected
242,Gemini,corrected
243,ChatGpt2025,corrected
243,DeepSeek,corrected
243,Gemini,corrected
245,ChatGpt2025,corrected
245,DeepSeek,corrected
245,Gemini,corrected
247,ChatGpt2025,corrected
247,DeepSeek,corrected
247,Gemini,introduced
247,ChatGpt2025,corrected
247,DeepSeek,corrected
247,Gemini,corrected
248,ChatGpt2025,not_corrected
248,DeepSeek,corrected
248,Gemini,not_corrected
248,ChatGpt2025,corrected
248,DeepSeek,corrected
248,Gemini,corrected
248,ChatGpt2025,not_corrected
248,DeepSeek,not_corrected
248,Gemini,not_corrected
249,ChatGpt2025,corrected
249,DeepSeek,corrected
249,Gemini,corrected
249,ChatGpt2025,corrected
249,DeepSeek,corrected
249,Gemini,corrected
249,ChatGpt2025,introduced
249,DeepSeek,introduced
249,Gemini,introduced
25,ChatGpt2025,corrected
25,DeepSeek,corrected
25,Gemini,corrected
25,ChatGpt2025,corrected
25,DeepSeek,corrected
25,Gemini,corrected
250,ChatGpt2025,not_corrected
250,DeepSeek,not_corrected
250,Gemini,corrected
250,ChatGpt2025,corrected
250,DeepSeek,corrected
250,Gemini,corrected
250,ChatGpt2025,corrected
250,DeepSeek,corrected
250,Gemini,corrected
250,ChatGpt2025,corrected
250,DeepSeek,corrected
250,Gemini,corrected
251,ChatGpt2025,corrected
251,DeepSeek,corrected
251,Gemini,corrected
251,ChatGpt2025,not_corrected
251,DeepSeek,corrected
251,Gemini,corrected
251,ChatGpt2025,corrected
251,DeepSeek,corrected
251,Gemini,corrected
252,ChatGpt2025,corrected
252,DeepSeek,corrected
252,Gemini,corrected
252,ChatGpt2025,not_corrected
252,DeepSeek,corrected
252,Gemini,not_corrected
252,ChatGpt2025,corrected
252,DeepSeek,corrected
252,Gemini,corrected
253,ChatGpt2025,corrected
253,DeepSeek,corrected
253,Gemini,corrected
253,ChatGpt2025,corrected
253,DeepSeek,corrected
253,Gemini,corrected
254,ChatGpt2025,introduced
254,DeepSeek,introduced
254,Gemini,introduced
254,ChatGpt2025,corrected
254,DeepSeek,corrected
254,Gemini,corrected
254,ChatGpt2025,corrected
254,DeepSeek,corrected
254,Gemini,corrected
256,ChatGpt2025,corrected
256,DeepSeek,corrected
256,Gemini,corrected
257,ChatGpt2025,corrected
257,DeepSeek,corrected
257,Gemini,corrected
257,ChatGpt2025,corrected
257,DeepSeek,corrected
257,Gemini,corrected
258,ChatGpt2025,not_corrected
258,DeepSeek,not_corrected
258,Gemini,not_corrected
258,ChatGpt2025,corrected
258,DeepSeek,corrected
258,Gemini,corrected
259,ChatGpt2025,corrected
259,DeepSeek,corrected
259,Gemini,corrected
26,ChatGpt2025,corrected
26,DeepSeek,corrected
26,Gemini,corrected
26,ChatGpt2025,corrected
26,DeepSeek,corrected
26,Gemini,corrected
26,ChatGpt2025,corrected
26,DeepSeek,corrected
26,Gemini,corrected
260,ChatGpt2025,corrected
260,DeepSeek,corrected
260,Gemini,corrected
260,ChatGpt2025,not_corrected
260,DeepSeek,not_corrected
260,Gemini,corrected
261,ChatGpt2025,corrected
261,DeepSeek,corrected
261,Gemini,corrected
262,ChatGpt2025,corrected
262,DeepSeek,corrected
262,Gemini,corrected
262,ChatGpt2025,introduced
262,DeepSeek,corrected
262,Gemini,introduced
263,ChatGpt2025,corrected
263,DeepSeek,corrected
263,Gemini,corrected
263,ChatGpt2025,corrected
263,DeepSeek,corrected
263,Gemini,corrected
263,ChatGpt2025,not_corrected
263,DeepSeek,not_corrected
263,Gemini,not_corrected
263,ChatGpt2025,corrected
263,DeepSeek,corrected
263,Gemini,corrected
264,ChatGpt2025,introduced
264,DeepSeek,corrected
264,Gemini,introduced
265,ChatGpt2025,corrected
265,DeepSeek,corrected
265,Gemini,corrected
265,ChatGpt2025,corrected
265,DeepSeek,corrected
265,Gemini,corrected
265,ChatGpt2025,corrected
265,DeepSeek,corrected
265,Gemini,corrected
266,ChatGpt2025,corrected
266,DeepSeek,corrected
266,Gemini,corrected
266,ChatGpt2025,corrected
266,DeepSeek,corrected
266,Gemini,corrected
267,ChatGpt2025,introduced
267,DeepSeek,corrected
267,Gemini,corrected
268,ChatGpt2025,not_corrected
268,DeepSeek,not_corrected
268,Gemini,not_corrected
269,ChatGpt2025,not_corrected
269,DeepSeek,not_corrected
269,Gemini,corrected
269,ChatGpt2025,not_corrected
269,DeepSeek,not_corrected
269,Gemini,not_corrected
269,ChatGpt2025,not_corrected
269,DeepSeek,not_corrected
269,Gemini,corrected
269,ChatGpt2025,corrected
269,DeepSeek,corrected
269,Gemini,corrected
269,ChatGpt2025,introduced
269,DeepSeek,corrected
269,Gemini,corrected
27,ChatGpt2025,corrected
27,DeepSeek,corrected
27,Gemini,corrected
27,ChatGpt2025,corrected
27,DeepSeek,corrected
27,Gemini,corrected
27,ChatGpt2025,corrected
27,DeepSeek,introduced
27,Gemini,corrected
271,ChatGpt2025,not_corrected
271,DeepSeek,not_corrected
271,Gemini,corrected
271,ChatGpt2025,corrected
271,DeepSeek,corrected
271,Gemini,corrected
271,ChatGpt2025,corrected
271,DeepSeek,not_corrected
271,Gemini,corrected
271,ChatGpt2025,not_corrected
271,DeepSeek,introduced
271,Gemini,not_corrected
271,ChatGpt2025,introduced
271,DeepSeek,corrected
271,Gemini,corrected
272,ChatGpt2025,corrected
272,DeepSeek,corrected
272,Gemini,corrected
273,ChatGpt2025,corrected
273,DeepSeek,corrected
273,Gemini,introduced
273,ChatGpt2025,corrected
273,DeepSeek,corrected
273,Gemini,introduced
273,ChatGpt2025,not_corrected
273,DeepSeek,corrected
273,Gemini,not_corrected
273,ChatGpt2025,corrected
273,DeepSeek,corrected
273,Gemini,corrected
274,ChatGpt2025,corrected
274,DeepSeek,corrected
274,Gemini,corrected
274,ChatGpt2025,corrected
274,DeepSeek,corrected
274,Gemini,corrected
274,ChatGpt2025,corrected
274,DeepSeek,corrected
274,Gemini,corrected
276,ChatGpt2025,corrected
276,DeepSeek,corrected
276,Gemini,corrected
276,ChatGpt2025,not_corrected
276,DeepSeek,not_corrected
276,Gemini,not_corrected
277,ChatGpt2025,corrected
277,DeepSeek,not_corrected
277,Gemini,introduced
277,ChatGpt2025,corrected
277,DeepSeek,introduced
277,Gemini,corrected
278,ChatGpt2025,not_corrected
